y_m,q_m,vnormal_m_s,speed_m_s,x_m,z_m,vx_m_s,vy_m_s,vz_m_s
-0.046783887,0.02474095008638129,0.14516264246006544,0.21526058039910378,-0.0146732,0.020649184,0.19501482,-0.024042604,-0.087910697
-0.046498198,0.022350664384068634,0.14846404183892642,0.20885924815693746,-0.011020103,0.01960312,0.19348054,-0.020849893,-0.075846873
-0.055287041,0.020093205567464002,0.14251351567604256,0.1837683711297391,-0.0085776523,0.018187465,0.17584214,-0.019946592,-0.049522616
-0.046727885,0.01942179498707121,0.16793384462288832,0.209024733231689,-0.0070149451,0.018121401,0.20245667,-0.021867294,-0.047164153
-0.056012031,0.01958887256887724,0.1860122089609398,0.22755526658778474,-0.0056129172,0.018898033,0.22186552,-0.019586213,-0.046620496
-0.0391085,0.019138304422441244,0.1891382832369795,0.23134960132975063,-0.0042781304,0.018975137,0.22584049,-0.014704153,-0.047984362
-0.060127817,0.01712302228238924,0.18952941334355047,0.22641684711256996,-0.004273125,0.016787939,0.22189407,-0.024644753,-0.037686158
-0.043200519,0.02921502344319234,0.17156464479124822,0.24266184881309513,-0.015386816,0.025206728,0.2247677,-0.013640681,-0.090433322
-0.057019822,0.03029289360682075,0.1939025019327933,0.26274505221303907,-0.014553512,0.0267314,0.24702844,-0.025811428,-0.085706957
-0.052842848,0.025164123035813883,0.20337478224008332,0.2703000113294406,-0.0024522496,0.026296388,0.25629011,-0.02100743,-0.083283633
-0.041734066,0.016664846389692577,0.1943884053124218,0.2301831947053101,-0.0025619254,0.017016556,0.22663759,-0.01711389,-0.03642555
-0.05860525,0.026634896589517135,0.21607979402965433,0.2877799622576924,-0.0010384581,0.028494297,0.27211148,-0.031961359,-0.088040449
-0.048134007,0.01621797524916621,0.20080619918797846,0.2416273670382629,-0.0011536296,0.017128879,0.23620796,-0.027916852,-0.042546839
-0.043526314,0.023876596490947314,0.21975435518253172,0.28371641575993634,0.0015314021,0.02658863,0.27178973,-0.023671582,-0.077878132
-0.057645041,0.021778989813703166,0.21811067222597882,0.282101724395407,0.0035386679,0.025161907,0.26958251,-0.031549331,-0.076884933
-0.056496944,0.01359332834576343,0.1821330612285756,0.23596501479164428,0.0028097914,0.015959939,0.22546041,-0.024896251,-0.065017447
-0.047416728,0.014286488320785325,0.18277689381004164,0.238367774072955,0.0033088492,0.016924798,0.22691123,-0.029494165,-0.066787601
-0.047316432,0.014329416825274688,0.18272325971973985,0.238558419933542,0.0035108239,0.017057167,0.22701837,-0.029325644,-0.067177273
-0.040369999,0.011169734794900733,0.15061626715194276,0.2107605959535725,0.0058084805,0.014599911,0.19500211,-0.030488629,-0.073923267
-0.05507176,0.01523085693718384,0.20862202991582726,0.255968956796592,0.010041657,0.02080863,0.24849018,-0.033506207,-0.051478844
-0.051906969,0.007395118787392635,0.1286734859957397,0.17873614281796524,0.0108239,0.012628237,0.1662772,-0.020087512,-0.062409882
-0.051386602,0.0070607162965355946,0.12832764121952284,0.1755322052100562,0.011171319,0.012412426,0.16438136,-0.018152393,-0.058828685
-0.056596827,0.007954095913628067,0.15930429560188622,0.21560778049753046,0.013491303,0.014367733,0.20166057,-0.035783134,-0.067374304
